Timestamp,Name,Level,Reason,Snapshot,Action
2026-03-26 17:47:03,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:04,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:05,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:06,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:07,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:08,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:08,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:09,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:09,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:10,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:10,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:11,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:11,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:12,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:12,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:13,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:13,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:14,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:14,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:15,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:15,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:16,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:16,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:17,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:17,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:18,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:18,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:19,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
2026-03-26 17:47:19,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174523_0302CS221132.jpg,Dismissed
2026-03-26 17:47:20,0302CS221132,High,Spam,d:\scis_pyqt6\Debug\alerts\20260326_174608_0302CS221132.jpg,Dismissed
