Name,Reason,Level,Confidence,DateTime,Action
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:15,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:15,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:16,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:16,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:17,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:17,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:18,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:18,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:19,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:19,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:20,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:20,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:21,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:21,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:22,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:22,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:23,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:23,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:24,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:24,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:25,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:25,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:26,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:26,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:27,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:27,Security Contacted
0302CS221132,Spam,High,0.5030,2026-03-26 17:47:27,Alert Triggered
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:28,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:28,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:29,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:29,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:30,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:30,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:31,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:31,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:31,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:32,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:32,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:33,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:33,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:34,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:34,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:35,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:35,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:36,Security Contacted
0302CS221132,Spam,High,1.0000,2026-03-26 17:47:36,Security Contacted
0302BA221111,Food thief,High,0.6994,2026-03-26 20:11:16,Alert Triggered
0302BA221111,Food thief,High,0.7905,2026-03-26 20:11:29,Alert Triggered
0302BA221111,Food thief,High,0.6805,2026-03-26 20:11:45,Alert Triggered
